#dignilife_tasks_120_distinct.csv
code,name,category,display_value_usd,expected_time_sec,ai_required,prereq_gate,languages,description,user_prompt,quality_rubric,bonus_eligible,review_threshold,is_active,notes
text_event_notice,Announce a local event,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_bus_route,Describe common bus route,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_place_description,Describe a public place,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_job_hint,Share a job tip,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_proverb,Share a local proverb,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_story_short,Tell a short story (3 lines),text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_answer,Answer a simple question by voice,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_read_sign,Read any nearby sign aloud,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_name_objects,Name 3 objects around you,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_feelings,Say how you feel today,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_weather,Describe the weather by voice,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_translate,Speak a translation of a short sentence,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_count,Count to five in your dialect,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_teach_phrase,Teach one local phrase,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_tonguetwister,Say a tongue twister,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_directions,Explain how to get to a nearby place,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_market_price,Say today’s price of an item,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_menu_item,Read a menu item aloud,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_colors,Name the colors you see,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_memory,Recall a childhood place,voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
voice_opinion,Give an opinion about a photo (generic),voice,2.0,20,True,False,auto,Speak naturally; try to be clear.,Hold phone near your mouth and speak in your language.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
tap_vote_emotion,Tap the happier image,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_ab_choose,Choose A or B (best UX),tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_relevance,Is this answer relevant?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_spam_check,Is this spam?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_quality_grade,Grade this answer A/B/C,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_prefer_lang,Which language is clearer?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_sound_quality,Is this sound clear?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_image_ok,Is this photo usable?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_topic_match,Does text match topic?,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
tap_next_best,Pick the next best task type for you,tap,2.0,5,False,False,auto,Quick choice to help AI learn quality.,Tap the best option shown on screen.,A=high;B=ok;C=poor,"streak,speed",0.5,True,
img_desc,Describe what’s in a photo,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_objects_circle,Point at 2 objects (auto-detect),img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_selfie_expression,Smile or blink (liveness),img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_receipt_scan,Scan a small receipt,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_poster_scan,Scan a poster or QR,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_food_plate,Take a photo of a meal,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_public_place,Take a photo of a public place sign,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_book_page,Take a photo of a book/page,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_menu_board,Photo of a menu board,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_water_source,Photo of water source,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_street_name,Photo of street name sign,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_bus_stop,Photo of bus stop sign,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_price_tag,Photo of price tag,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_product_front,Photo of product front label,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_storefront,Photo of storefront,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_id_like,Photo of an object you like,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_local_art,Photo of local art/craft,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
img_tool_item,Photo of a tool you use,img,3.0,25,True,True,auto,Capture a clear image; avoid faces unless asked.,Hold steady for 1–2 seconds; ensure readable text if present.,A=high;B=ok;C=poor,"streak,speed,quality",0.7,True,
geo_ping,Check-in your location,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_weather_now,Verify weather matches your area,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_store_price,Submit price at a nearby store,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_bus_frequency,How often buses pass here?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_noise_level,Is it quiet or noisy here?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_safety_view,Is this area safe now?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_open_hours,Is this shop open now?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_traffic,Is traffic heavy now?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_water_quality,Is local water clear?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
geo_air_quality,How is the air today?,geo,3.0,10,True,True,auto,Share approximate location to validate local facts.,Tap 'Ping' then answer the short question shown.,A=high;B=ok;C=poor,streak,0.7,True,
quiz_daily,Daily 3-question quiz,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_math_easy,Basic math (3Qs),quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_language_match,Match word to meaning,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_picture_reason,Reason about a simple picture,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_safe_or_not,Is this safe?,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_true_false,True/False quick round,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_sequence,Put steps in order,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_map_read,Read a simple map,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_time_read,Read a clock/time,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_currency_count,Count notes/coins,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_signs,Identify common signs,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
quiz_health,Basic health knowledge,quiz,3.0,30,True,False,auto,Short adaptive quiz to personalize tasks.,Answer as best as you can; no penalty for mistakes.,A=high;B=ok;C=poor,"streak,quality",0.6,True,
teach_ai_word,Teach a new word in your dialect,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_phrase,Teach a useful phrase,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_proverb,Teach a local proverb,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_count,Teach counting to five,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_colors,Teach color names in dialect,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_places,Teach names of places,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_animals,Teach animal names,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_foods,Teach food names,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_verbs,Teach common verbs,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_numbers,Teach numbers 1–10,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_greetings,Teach greeting phrases,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_questions,Teach question words,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_myth,Tell a local myth (short),teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_songline,Speak a line from a folk song,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
teach_ai_spell,Spell a tricky local word,teach,5.0,45,True,False,auto,Contribute genuine dialect knowledge; duplicates may be reduced.,Speak or type the item and explain meaning and usage.,A=high;B=ok;C=poor,"streak,quality,teach",0.8,True,
referral_check,Invite a friend + face confirm,ref,10.0,120,True,True,auto,"Grow the community with verified, real users only.",Have your friend scan face and complete onboarding steps.,A=high;B=ok;C=poor,"streak,quality",0.9,True,
referral_device_bind,Bind invitee’s device,ref,10.0,120,True,True,auto,"Grow the community with verified, real users only.",Have your friend scan face and complete onboarding steps.,A=high;B=ok;C=poor,"streak,quality",0.9,True,
referral_language_pair,Confirm invitee language,ref,10.0,120,True,True,auto,"Grow the community with verified, real users only.",Have your friend scan face and complete onboarding steps.,A=high;B=ok;C=poor,"streak,quality",0.9,True,
referral_onboard_help,Help invitee complete first pack,ref,10.0,120,True,True,auto,"Grow the community with verified, real users only.",Have your friend scan face and complete onboarding steps.,A=high;B=ok;C=poor,"streak,quality",0.9,True,
referral_quality_review,Review invitee’s first submissions,ref,10.0,120,True,True,auto,"Grow the community with verified, real users only.",Have your friend scan face and complete onboarding steps.,A=high;B=ok;C=poor,"streak,quality",0.9,True,
face_gate,Unlock via face scan,gate,0.0,8,True,True,auto,Required step to ensure safety and quality.,Follow on-screen instructions.,A=high;B=ok;C=poor,,1.0,True,
device_check,Device integrity scan,gate,0.0,8,True,True,auto,Required step to ensure safety and quality.,Follow on-screen instructions.,A=high;B=ok;C=poor,,1.0,True,
anti_spoof_prompt,Anti-spoof challenge,gate,0.0,8,True,True,auto,Required step to ensure safety and quality.,Follow on-screen instructions.,A=high;B=ok;C=poor,,1.0,True,
privacy_ack,Acknowledge privacy policy,gate,0.0,8,True,True,auto,Required step to ensure safety and quality.,Follow on-screen instructions.,A=high;B=ok;C=poor,,1.0,True,
tutorial_done,Finish tutorial & safety tips,gate,0.0,8,True,True,auto,Required step to ensure safety and quality.,Follow on-screen instructions.,A=high;B=ok;C=poor,,1.0,True,
market_rice_kg,Price of 1kg rice,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_egg_10,Price of 10 eggs,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_oil_1l,Price of 1L cooking oil,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_flour_1kg,Price of 1kg flour,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_milk_1l,Price of 1L milk,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_bus_fare,Bus fare common route,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_phone_topup,Phone top-up common pack,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_water_1l,Price of 1L bottled water,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_gas_can,Price of household gas can,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
market_veg_bundle,Price of mixed vegetables bundle,text,3.0,25,True,False,auto,Report a real local price; AI cross-checks with geo/time.,"Type item, brand (if any), and price you see today.",A=high;B=ok;C=poor,"streak,quality",0.7,True,
civic_clinic_hours,Clinic opening hours,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_school_hours,School opening hours,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_water_point,Nearest public water point,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_trash_spot,Report public trash spot,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_light_out,Report street light outage,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_bus_stop_loc,Nearest bus stop location,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_safe_zone,Report a safe waiting area,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_help_center,Nearest help center/NGO,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_event_today,Community event today,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
civic_feedback_ui,Feedback about app UI,text,3.0,25,True,False,auto,Share local civic info to help the community and improve maps.,"Describe the place, rough location, and what you observed.",A=high;B=ok;C=poor,"streak,quality,diversity",0.7,True,
